date,sample_ID,pH,pH_insitu
2025-06-08,20250608_kb_p15_t2,8.245274425091651,8.254536969720512
2025-06-08,20250608_kb_ocn_t2,7.8638726255689955,7.850076402864531
2025-06-08,20250608_kb_p1_t3,8.6963390205969109,8.700904811967419
2025-06-08,20250608_kb_p2_t3,8.462520598790862,8.464305472201842
2025-06-08,20250608_kb_p3_t3,8.575285696128038,8.5737532892476
2025-06-08,20250608_kb_p4_t3,7.615446925265086,7.612745585911056
2025-06-08,20250608_kb_p5_t3,7.813502945279159,7.829410587726414
2025-06-08,20250608_kb_p6_t3,8.299086882207463,8.295297250295903
2025-06-08,20250608_kb_p7_t3,7.8770320536494065,7.879342599497675
2025-06-08,20250608_kb_p8_t3,7.736446747886035,7.749068001683581
2025-06-08,20250608_kb_p9_t3,7.581544137338757,7.585028606558197
2025-06-08,20250608_kb_p10_t3,7.506077634564431,7.508495764318169
2025-06-08,20250608_kb_p11_t3,7.484953343777548,7.498108229140731
2025-06-08,20250608_kb_p12_t3,7.682907767190097,7.706739913224229
2025-06-08,20250608_kb_p13_t3,7.922933082677208,7.92841741447699
2025-06-08,20250608_kb_p14_t3,7.488849029807228,7.503833750027172
2025-06-08,20250608_kb_p15_t3,8.213556875725095,8.22316857978548
2025-06-08,20250608_kb_ocn_t3,7.843224281398689,7.838591415650143
2025-06-22,20250622_sb_p16_t1,7.540100702277945,7.55077477884787
2025-06-22,20250622_sb_p17_t1,8.165502075314684,8.17791494045347
2025-06-22,20250622_sb_p18_t1,7.9932298491472205,8.008680678722609
2025-06-22,20250622_sb_p19_t1,8.244845015914862,8.260439221281256
2025-06-22,20250622_sb_p20_t1,7.8513012451027135,7.8634226073361075
2025-06-22,20250622_sb_p21_t1,8.586991382308488,8.599951696558346
2025-06-22,20250622_sb_p22_t1,8.245463184025231,8.260136397733408
2025-06-22,20250622_sb_p23_t1,8.166180278728847,8.17868239407036
2025-06-22,20250622_sb_p24_t1,7.696868191997469,7.705731795453882
2025-06-22,20250622_sb_p25_t1,8.231738888439077,8.246506965103082
2025-06-22,20250622_sb_p26_t1,7.803525269802039,7.815143335105469
2025-06-22,20250622_sb_p27_t1,8.11875428587545,8.13104233762942
2025-06-22,20250622_sb_p28_t1,7.714249863056646,7.728496680547651
2025-06-22,20250622_sb_p29_t1,7.951813262288077,7.965751124768285
2025-06-22,20250622_sb_p30_t1,8.368252147306853,8.386390202194255
2025-06-22,20250622_sb_ocn_t1,7.906999901103238,7.90317460504012
2025-06-22,20250622_sb_p16_t2,7.454075685297862,7.464259952047835
2025-06-22,20250622_sb_p17_t2,7.978301496244309,7.991603578707281
2025-06-22,20250622_sb_p18_t2,7.898912674474752,7.914021479055736
2025-06-22,20250622_sb_p19_t2,8.134547500402807,8.149276603757905
2025-06-22,20250622_sb_p20_t2,7.782304828425793,7.795073389573671
2025-06-22,20250622_sb_p21_t2,8.497425679729691,8.51091016594064
2025-06-22,20250622_sb_p22_t2,8.1794977406553,8.193710374856643
2025-06-22,20250622_sb_p23_t2,8.093996672877699,8.107088774963616
2025-06-22,20250622_sb_p24_t2,7.60907142318825,7.619914418044039
2025-06-22,20250622_sb_p25_t2,8.141677743838441,8.155459688418045
2025-06-22,20250622_sb_p26_t2,7.7595866088958365,7.772765290467389
2025-06-22,20250622_sb_p27_t2,8.027444662604575,8.040056536065297
2025-06-22,20250622_sb_p28_t2,7.6721930139528105,7.68484621726825
2025-06-22,20250622_sb_p29_t2,7.8837780816418634,7.89482698148492
2025-06-22,20250622_sb_p30_t2,8.283976185682135,8.29889070743212
2025-06-22,20250622_sb_ocn_t2,7.864997094192106,7.860212633308289
2025-06-22,20250622_sb_p16_t3,7.389879271810103,7.398820443954801
2025-06-22,20250622_sb_p17_t3,7.78948585534091,7.80573926991203
2025-06-22,20250622_sb_p18_t3,7.8368773385301544,7.852642404890393
2025-06-22,20250622_sb_p19_t3,8.032086576720243,8.053450821203846
2025-06-22,20250622_sb_p20_t3,7.733541573808844,7.747351061852767
2025-06-22,20250622_sb_p21_t3,8.466564883455307,8.484916292904195
2025-06-22,20250622_sb_p22_t3,8.144310856305133,8.166964982142265
