sample_ID,TA,Mass,Sample.Index
20251105_sb_p17_t1,1093.244314,60.0244,9
20251105_sb_p16_t1,2380.019117,60.1066,10
20251105_sb_ocn_t1,2288.755839,60.2133,11
20251105_sb_p21_t2,2127.480195,60.1452,12
20251105_sb_p31_t2,2485.312969,60.2076,13
20251105_sb_p20_t2,2259.454316,60.2093,14
20251105_sb_p19_t2,2209.301609,60.1583,15
20251105_sb_p18_t2,2236.56091,60.1105,16
20251105_sb_p17_t2,1234.596914,60.1889,17
20251105_sb_p16_t2,2447.001364,60.0657,18
20251105_sb_ocn_t2,2294.896771,60.1559,19
20251105_sb_p21_t3,2165.119558,60.2024,20
20251105_sb_p31_t3,2517.706061,60.2025,21
20251105_sb_p20_t3,2278.169941,60.2737,22
20251105_sb_p19_t3,2287.996778,60.193,23
20251105_sb_p18_t3,2276.489983,60.1634,24
20251105_sb_p17_t3,1375.29591,60.1349,25
20251105_sb_p16_t3,2509.438425,60.0181,26
20251105_sb_ocn_t3,2308.634241,60.1696,27
junk1,2299.323937,60.1515,1
junk2,2283.004526,60.1514,2
junk3,2282.824281,60.0926,3
20260222_sb_p16_t1,2181.388334,60.1217,4
20260222_sb_p17_t1,2170.117087,60.0785,5
20260222_sb_p18_t1,2154.885102,60.404,6
20260222_sb_p19_t1,2117.397368,60.1232,7
20260222_sb_p20_t1,2194.321224,60.0193,8
20260222_sb_p21_t1,2149.885181,60.2088,9
20260222_sb_p31_t1,2220.150263,60.065,10
20260222_sb_ocn_t1,2291.613253,60.2706,11
20260222_sb_p16_t2,2308.022478,60.0986,12
20260222_sb_p17_t2,1957.327919,60.2276,13
20260222_sb_p18_t2,2046.612738,60.0987,14
20260222_sb_p19_t2,2015.830437,60.0364,15
20260222_sb_p20_t2,2115.604381,60.1307,16
20260222_sb_p21_t2,2060.341924,60.0713,17
20260222_sb_p31_t2,2170.833502,60.0328,18
20260222_sb_ocn_t2,2278.707028,60.1776,19
20260222_sb_p16_t3,2114.13874,60.1405,20
20260222_sb_p17_t3,1759.381599,60.0694,21
20260222_sb_p18_t3,1951.324356,60.1188,22
20260222_sb_p19_t3,1903.572788,60.0106,23
20260222_sb_p20_t3,2056.899791,60.2012,24
20260222_sb_p21_t3,1964.545946,60.1427,25
20260222_sb_p31_t3,2119.65495,60.2474,26
20260222_sb_ocn_t3,2284.990717,60.0968,27
junk1,2307.350689,60.3142,1
junk2,2293.763026,60.0981,2
junk3,2295.440381,60.2616,3
20260222_sb_p22_t1,2141.271336,60.2008,4
20260222_sb_p32_t1,2171.757271,60.2534,5
20260222_sb_p23_t1,2180.527353,60.0428,6
20260222_sb_p25_t1,2164.731182,60.2091,7
20260222_sb_p26_t1,2195.431285,60.1869,8
20260222_sb_p29_t1,2142.860116,60.107,9
20260222_sb_p28_t1,2174.569721,60.0431,10
20260222_sb_p22_t2,2028.344892,60.2002,11
20260222_sb_p32_t2,2077.449196,60.1533,12
20260222_sb_p23_t2,2094.931406,60.0266,13
20260222_sb_p25_t2,2078.56356,60.0509,14
20260222_sb_p26_t2,2126.425917,60.1462,15
20260222_sb_p29_t2,2042.926978,60.1259,16
20260222_sb_p28_t2,2060.288219,60.2091,17
20260222_sb_p22_t3,1915.06701,60.2418,18
20260222_sb_p32_t3,1977.174965,60.1491,19
20260222_sb_p23_t3,2019.012155,60.132,20
20260222_sb_p25_t3,1979.821022,60.1817,21
20260222_sb_p26_t3,2058.438442,60.2725,22
20260222_sb_p29_t3,1954.126277,60.3447,23
20260222_sb_p28_t3,1980.324271,60.2877,24
junk1,2306.45865,60.2523,1
junk2,2293.116062,60.056,2
junk3,2297.080533,60.0244,3
20260228_kb_p1_t1,2174.941633,60.2517,4
20260228_kb_p2_t1,2147.059996,60.1852,5
20260228_kb_p3_t1,2306.755402,60.1542,6
20260228_kb_p4_t1,2086.032663,60.0789,7
20260228_kb_p5_t1,2074.000487,60.0688,8
20260228_kb_p6_t1,2101.221184,60.1134,9
20260228_kb_p7_t1,2047.890721,60.1296,10
20260228_kb_ocn_t1,2223.906307,60.1394,11
20260228_kb_p1_t2,2109.757692,60.0583,12
20260228_kb_p2_t2,2074.072182,60.3777,13
20260228_kb_p3_t2,2305.203762,60.0488,14
20260228_kb_p4_t2,1967.818534,60.2114,15
20260228_kb_p5_t2,1958.575925,60.2509,16
20260228_kb_p6_t2,2057.869959,60.0396,17
20260228_kb_p7_t2,1954.650561,60.0949,18
20260228_kb_ocn_t2,2240.657987,60.2862,19
20260228_kb_p1_t3,2147.507709,60.0127,20
20260228_kb_p2_t3,2105.670932,60.2539,21
20260228_kb_p3_t3,2353.361743,60.2216,22
20260228_kb_p4_t3,1985.350821,60.0818,23
20260228_kb_p5_t3,1956.344713,60.2512,24
20260228_kb_p6_t3,2071.063984,60.0727,25
20260228_kb_p7_t3,1951.051881,60.1119,26
20260228_kb_ocn_t3,2245.726148,60.2262,27
junk1,2299.30596,60.0948,1
junk2,2294.263242,60.1906,2
junk3,2289.976738,60.1528,3
20260228_kb_p8_t1,2058.530315,60.2534,4
20260228_kb_p9_t1,2089.024888,60.0756,5
20260228_kb_p10_t1,2158.097334,60.1158,6
20260228_kb_p11_t1,2131.019503,60.0069,7
20260228_kb_p12_t1,1933.40259,60.0516,8
20260228_kb_p13_t1,2123.294002,60.165,9
20260228_kb_p14_t1,2094.323717,60.0585,10
20260228_kb_p15_t1,2047.279432,60.0569,11
20260228_kb_p8_t2,1930.062184,60.1546,12
