date,sample_ID,pH,pH_insitu
2025-07-26,20250726_kb_p4_t2,7.916289131043426,7.931022252126477
2025-07-26,20250726_kb_ocn_t2,8.026996397562542,8.031212890593308
2025-07-26,20250726_kb_p3_t2,8.53098309235595,8.553126508629003
2025-07-26,20250726_kb_p2_t2,8.428198639196872,8.449516608129258
2025-07-26,20250726_kb_p1_t2,8.651197160017038,8.672345400064083
2025-07-26,20250726_kb_p8_t2,8.037356085997365,8.062378944608405
2025-07-26,20250726_kb_p9_t2,7.972614588097472,7.993700497727358
2025-07-26,20250726_kb_p10_t2,7.818422990223973,7.837807220108677
2025-07-26,20250726_kb_p11_t2,7.82757664441761,7.845539859806446
2025-07-26,20250726_kb_p12_t2,8.39973153185031,8.410736634456756
2025-07-26,20250726_kb_p14_t2,7.862396709844007,7.881667401311381
2025-07-26,20250726_kb_p13_t2,7.954412302236441,7.976421941639577
2025-07-26,20250726_kb_p15_t2,8.176961318999954,8.205588797597613
2025-07-26,20250726_kb_p7_t3,8.387822810738054,8.396051470960009
2025-07-26,20250726_kb_p6_t3,8.484386541300212,8.49554887739324
2025-07-26,20250726_kb_p5_t3,8.411194805865378,8.42633576496225
2025-07-26,20250726_kb_p4_t3,8.3231949267961909,8.336407608265535
2025-07-26,20250726_kb_ocn_t3,8.102223919055623,8.119849769918954
2025-07-26,20250726_kb_p3_t3,8.605659321787916,8.628305011502853
2025-07-26,20250726_kb_p2_t3,8.535687232856526,8.549579552505556
2025-07-26,20250726_kb_p1_t3,8.741010109437017,8.75064647254532
2025-07-26,20250726_kb_p8_t3,8.385687411525996,8.388751421840087
2025-07-26,20250726_kb_p9_t3,8.34236248052209,8.350569875870526
2025-07-26,20250726_kb_p10_t3,8.15276366646362,8.147467362365516
2025-07-26,20250726_kb_p11_t3,8.181347079756899,8.173158788801553
2025-07-26,20250726_kb_p12_t3,8.853422151076485,8.826727719961061
2025-07-26,20250726_kb_p14_t3,8.246853203952387,8.241860293901379
2025-07-26,20250726_kb_p13_t3,8.271739870116269,8.264699871887807
2025-07-26,20250726_kb_p15_t3,8.401326735238383,8.399447902539789
2025-11-05,20251105_sb_p28_t1,8.270323195148583,8.272323322093808
2025-11-05,20251105_sb_p29_t1,8.637758251253784,8.639104486256244
2025-11-05,20251105_sb_p26_t1,8.3487256061503,8.351548626465819
2025-11-05,20251105_sb_p25_t1,8.77371282577789,8.771826038070182
2025-11-05,20251105_sb_p24_t1,8.106631669074345,8.115703824026708
2025-11-05,20251105_sb_p23_t1,8.701766429536436,8.69861512393076
2025-11-05,20251105_sb_p32_t1,8.449790168630285,8.454472132087998
2025-11-05,20251105_sb_p22_t1,8.862046263720154,8.864190379720103
2025-11-05,20251105_sb_p21_t1,8.889685816051562,8.896063136342192
2025-11-05,20251105_sb_p31_t1,8.619455219101203,8.62782666699502
2025-11-05,20251105_sb_p20_t1,8.366177648180976,8.36682421703296
2025-11-05,20251105_sb_ocn_t1,8.055779031828582,8.050219586799853
2025-11-05,20251105_sb_p19_t1,8.757818017562707,8.763415183349965
2025-11-05,20251105_sb_p18_t1,8.517395002584292,8.525728448585532
2025-11-05,20251105_sb_p17_t1,9.263655828125371,9.261589699939961
2025-11-05,20251105_sb_p16_t1,8.191596227834813,8.205013934925855
2025-11-05,20251105_sb_p29_t2,8.521575700890413,8.523399013230785
2025-11-05,20251105_sb_p26_t2,8.2571516727689,8.260475076286658
2025-11-05,20251105_sb_p28_t2,8.212656963633068,8.21929296454529
2025-11-05,20251105_sb_p25_t2,8.694782583430545,8.696721683887784
2025-11-05,20251105_sb_p24_t2,8.012697317040889,8.023439819118149
2025-11-05,20251105_sb_p23_t2,8.649857260998104,8.652255050380454
2025-11-05,20251105_sb_p22_t2,8.810595753397745,8.813015602153552
2025-11-05,20251105_sb_p32_t2,8.398395104406582,8.402065406378957
2025-11-05,20251105_sb_p21_t2,8.832445437093735,8.840653522911062
2025-11-05,20251105_sb_p31_t2,8.57810740931338,8.589136050895066
2025-11-05,20251105_sb_p20_t2,8.27506350809876,8.278967849121097
2025-11-05,20251105_sb_ocn_t2,8.009655146643471,8.00387780762456
2025-11-05,20251105_sb_p19_t2,8.712878865313954,8.722536514708258
2025-11-05,20251105_sb_p18_t2,8.423105719294014,8.432880313985912
2025-11-05,20251105_sb_p17_t2,9.134794964908213,9.139315728452427
2025-11-05,20251105_sb_p16_t2,8.046381155120603,8.05812237035696
2025-11-05,20251105_sb_p29_t3,8.425857711354316,8.431197468063424
2025-11-05,20251105_sb_p26_t3,8.140584839620674,8.15032010130869
2025-11-05,20251105_sb_p28_t3,8.119284929229675,8.133326052177656
2025-11-05,20251105_sb_p25_t3,8.617660690463477,8.623528569776168
2025-11-05,20251105_sb_p24_t3,7.909754633412095,7.923672644850133
2025-11-05,20251105_sb_p23_t3,8.586662086527685,8.592807982593571
2025-11-05,20251105_sb_p22_t3,8.750670900471713,8.761006403741016
2025-11-05,20251105_sb_p32_t3,8.320680156619359,8.327799968714025
2025-11-05,20251105_sb_p21_t3,8.756619033895642,8.767983196367581
2025-11-05,20251105_sb_p31_t3,8.52045989611561,8.535540247083818
2025-11-05,20251105_sb_p20_t3,8.183538700404835,8.188836465225325
2025-11-05,20251105_sb_ocn_t3,7.9964066938324,7.991851613333457
2025-11-05,20251105_sb_p19_t3,8.686311250924348,8.701306855488518
2025-11-05,20251105_sb_p18_t3,8.346083045121295,8.363038436172058
2025-11-05,20251105_sb_p17_t3,9.055001325431764,9.068256577776378
2025-11-05,20251105_sb_p16_t3,7.964404217732423,7.981939905169128
